hf_path,source_path,size_bytes,sha256
sam-ai/New folder (4)/dataset/documents/dc/زمان-اجرای-آیین-نامه-استقلال-کانون-وکل-f78d5562dc.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dc\زمان-اجرای-آیین-نامه-استقلال-کانون-وکل-f78d5562dc.json,4433,6f8d35419aed3ea44a46594a5a60429b6d7de1412b14fb9ecb70a69f9923ec7d
sam-ai/New folder (4)/dataset/documents/dd/151-af5e65a2dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\151-af5e65a2dd.json,38068,5ea0ee9f1a7c6cb4579e7fbd45e8406775f1cf02610fbd6c9e0953e26f09fb94
sam-ai/New folder (4)/dataset/documents/dd/167-d2805491dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\167-d2805491dd.json,16642,4ff03ad6ed63231c4d46c6bb8d49504ea8d7f0f94fd95f836d8557305b7303bb
sam-ai/New folder (4)/dataset/documents/dd/1861198-6ebe2879dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\1861198-6ebe2879dd.json,2595,ad56fa1bc162953e3ea28c7a4e36b332f21658180a03f8bd36c835b26d695a1d
sam-ai/New folder (4)/dataset/documents/dd/663-dfc8f065dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\663-dfc8f065dd.json,18780,ca1bc0b2b699b583f66b516c93e866d35f90bb5be3a198eeb69100b34ee3fec4
sam-ai/New folder (4)/dataset/documents/dd/711-ceb52409dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\711-ceb52409dd.json,6262,a12f42c90eea5292d189a53004f64f7a61e527473bf00ada85f39f7e9232fb69
sam-ai/New folder (4)/dataset/documents/dd/post-44049-bc3a655ddd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\post-44049-bc3a655ddd.json,14590,d67b9ee2a36834179a82cb8fcaa6b51dbae71484205dd20da4c604e04ee4ddda
sam-ai/New folder (4)/dataset/documents/dd/printtext-0c7c9153dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-0c7c9153dd.json,7607,364fdc80f3824e62e85cc88cdfb11d9f0c8cd9fb37afbcafea60b3a146911bf4
sam-ai/New folder (4)/dataset/documents/dd/printtext-121581dcdd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-121581dcdd.json,2238,a9a00bb34bc3a8b3a768261c6d25f5f45d74273ce9d9dcb6978f4b5dfc9a9f6b
sam-ai/New folder (4)/dataset/documents/dd/printtext-173d540ddd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-173d540ddd.json,5459,805fe2ca89fc5abee1ecc0b613e6cda24161f622ef72a0965bb1d57262efb7e2
sam-ai/New folder (4)/dataset/documents/dd/printtext-2de94875dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-2de94875dd.json,11035,03040ade5327d246076738990cbd033a567232235e18b5c5f130c5945c01ce59
sam-ai/New folder (4)/dataset/documents/dd/printtext-3d3ddc30dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-3d3ddc30dd.json,3406,2816462f303bea592fd7a77d18dbb6452b17d47a95d4b6e09526295f6951fa62
sam-ai/New folder (4)/dataset/documents/dd/printtext-570bd667dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-570bd667dd.json,16487,6f3c302cdc64252c0eda525ab4d6ace9efd064be29e1348e9156f33c36347b40
sam-ai/New folder (4)/dataset/documents/dd/printtext-5b353a17dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-5b353a17dd.json,3447,819be3c7190344e16d4f8787774d991c445194689282ec688ae56ef503567fa3
sam-ai/New folder (4)/dataset/documents/dd/printtext-67e85681dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-67e85681dd.json,8172,e96340c93615a33422584681afa0e69781eb5e02a3996e70549ee5ad29c059e2
sam-ai/New folder (4)/dataset/documents/dd/printtext-7b6745a6dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-7b6745a6dd.json,2151,9c0b0923f878ee725cb908b4c92270bb775551d014656477dff2e459e885b388
sam-ai/New folder (4)/dataset/documents/dd/printtext-8ee5e7c3dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-8ee5e7c3dd.json,2708,ee0e7ff1464e085eea962f3bcf94ae7cece1d56c601f57003399c089fce9a6e1
sam-ai/New folder (4)/dataset/documents/dd/printtext-b49f2615dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-b49f2615dd.json,2719,cb94b07b4b79f900dad8349711ad962130a0fac536ddbde5049e7cd48508d93d
sam-ai/New folder (4)/dataset/documents/dd/printtext-fb7bd62add.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\printtext-fb7bd62add.json,8819,eacd3daea0e6f6f95ff2ae388685aa91725baf0a6fb4524e9dddfcde438f4c00
sam-ai/New folder (4)/dataset/documents/dd/rule-collection-1e3e81b1dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\rule-collection-1e3e81b1dd.json,9517,80af2b3e81a3e682e5706dd6f08fa11d551b68f85405c7c7d6cbd722f6336dbd
sam-ai/New folder (4)/dataset/documents/dd/rule-collection-564090ccdd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\rule-collection-564090ccdd.json,9052,8c0d00b3e045b9ab358b1607a25364ff8b0e905bbb0d46da43d6893ab3dde09a
sam-ai/New folder (4)/dataset/documents/dd/تصویب-نامه-در-خصوص-برنامه-افزایش-ظرفیت-3e9456c9dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\تصویب-نامه-در-خصوص-برنامه-افزایش-ظرفیت-3e9456c9dd.json,2089,90bddec860617fcfe3dc7273251d1df0c54997d43f42ba17492a7e9f22aebf52
sam-ai/New folder (4)/dataset/documents/dd/دستورالعمل-بهداشتی-انتخابات-ریاست-جم-10f45a7fdd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\دستورالعمل-بهداشتی-انتخابات-ریاست-جم-10f45a7fdd.json,11444,da2a3a6747150a470f886c91f83b4d906d43a88a2672428b1597477182171a80
sam-ai/New folder (4)/dataset/documents/dd/رأی-شماره-های-۲۷۵۰-الی-۲۷۵۳-هیأت-عموم-8a9db214dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\رأی-شماره-های-۲۷۵۰-الی-۲۷۵۳-هیأت-عموم-8a9db214dd.json,13758,76da1c78be47cd962e6e4278901c931be36c9a1c5eef2081ae75f032b24a5395
sam-ai/New folder (4)/dataset/documents/dd/رأی-شماره-۳۱۹-هیأت-عمومی-دیوان-عدالت-اد-fca26dfbdd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\رأی-شماره-۳۱۹-هیأت-عمومی-دیوان-عدالت-اد-fca26dfbdd.json,16426,847277f88316f3b370c7cfe6a25bc29b912249110c90ddeef040088b1076e687
sam-ai/New folder (4)/dataset/documents/dd/رأی-وحدت-رویه-شماره-۶۹۰-هیأت-عمومی-دیوا-0d1937d5dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\رأی-وحدت-رویه-شماره-۶۹۰-هیأت-عمومی-دیوا-0d1937d5dd.json,11609,812666b7ffedc138b35ad6c61a637d40a70ec608168e94f8dc88ad01da5d4c72
sam-ai/New folder (4)/dataset/documents/dd/لایحه-قانونی-تشدید-مجازات-مرتکبین-جرا-82ba4bf4dd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\لایحه-قانونی-تشدید-مجازات-مرتکبین-جرا-82ba4bf4dd.json,24457,e2fd4a3cf57f84daecab04afba44ed9537850646f02afde57389a4c485e5ccf5
sam-ai/New folder (4)/dataset/documents/dd/نصاب-معاملات-موضوع-ماده-۲۲-آیین-نامه-1931987cdd.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\dd\نصاب-معاملات-موضوع-ماده-۲۲-آیین-نامه-1931987cdd.json,3475,12260f35b5183a585f8eca690ef4a6cdb318fda6a19e0d4a5e7fdbacf52a8639
sam-ai/New folder (4)/dataset/documents/de/210-29f1567ede.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\de\210-29f1567ede.json,9294,117d4e914cb1469640ff2c3468e2e31f7166bf71717e1317fcc0e899c9dc9061
sam-ai/New folder (4)/dataset/documents/de/296-23a2d985de.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\de\296-23a2d985de.json,24371,ca472906169917d06b43df7015a46b925fae306579e6f341e1bffb9db341fced
sam-ai/New folder (4)/dataset/documents/de/936-9d806c39de.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\de\936-9d806c39de.json,25401,779d03eb8b5ee53d89176aceae14d3a4c25b9fffb62022f244be545786c2ac31
sam-ai/New folder (4)/dataset/documents/de/abzar-8bb68f8ade.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\de\abzar-8bb68f8ade.json,22148,88ba115ac7c9dd9936a67688b235c86c653b2c0c4b6509dbaa82b816da552cc4
sam-ai/New folder (4)/dataset/documents/de/akhbar-0561c4c9de.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\de\akhbar-0561c4c9de.json,22632,65807ee752dfb06de259b82e6622a7c6ca8138fc2efba658c74c08f85a2ad5c9
sam-ai/New folder (4)/dataset/documents/de/printtext-00498d7cde.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\de\printtext-00498d7cde.json,11752,04161d119d3e320aab8d9c19f598872dc742cc0d3872465a61845f93973763e8
sam-ai/New folder (4)/dataset/documents/de/printtext-079c9b4ade.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\de\printtext-079c9b4ade.json,6704,a18d7a67e36cbbf1716e88619e7eb1cd6f7a580710193bbbf8da7965dc482e85
sam-ai/New folder (4)/dataset/documents/de/printtext-4ae04bccde.json,C:\Users\Admin\Desktop\sam-ai\New folder (4)\dataset\documents\de\printtext-4ae04bccde.json,2558,7bd7b975c8fea7eacf6a2f95e20dcb8621f92e4b356dcc96ab14e3fd29c9b875
